x,y,objeto_presente,lectura_ultrasonico,movimiento_direccion,movimiento_distancia,velocidad_lineal,velocidad_angular,aceleracion_lineal,aceleracion_angular,tiempo,energia_consumida,temperatura_ambiente,nivel_bateria
0,0,True,4.569459736778657,3.5526269514677447,0.3599696096751577,0.1091284595461981,0.26743738547242535,0.6627871035894167,0.7569305585281282,0.6778307671385267,0.7991193354670484,0.5868289220954687,0.3438324056216394
0,0,True,1.5976422629335945,2.833857789666596,0.40414966060140833,0.32644619020807,0.20640571441030808,0.5827883468866933,0.4205009903264485,0.3714798203226469,0.3958161577829732,0.2675264805731744,0.7134310281765442
-1,0,True,1.6655725183077728,3.5380241615683015,1.8294831050455354,0.47108901922783775,0.8446963385498862,0.6058448445098329,0.32422719343270556,0.19520605699653426,0.625647924033583,0.04502581656807236,0.023439231841270503
0,1,False,0,1.0722514734994457,1.238212599719004,0.19199830007310448,0.39794048140064775,0.5879747967426882,0.4100300277157596,0.2593344310839363,0.6179115523636686,0.7865868616143286,0.09584431558543904
0,1,False,0,2.0170981316760876,0.18888146593502708,0.08578912359161583,0.6105134944313166,0.9407486402778289,0.7799255046887167,0.8425579619628096,0.3747391067253424,0.397378119113299,0.5387901586532383
0,0,False,0,4.301846499206247,0.02440011110914453,0.9536171353443673,0.30248700284839847,0.39557728939339876,0.6370037413407735,0.2114401658514855,0.3908037826865589,0.33474687965609995,0.329865958183611
0,1,True,1.2208605682869376,1.4609814979930502,1.8296328251455196,0.27357380333119174,0.5183188974814554,0.963540758883,0.34724437833649613,0.2684220143619954,0.504458066525862,0.38547514547945083,0.06322234063439935
0,1,True,3.9936168946413955,0.4479861393300151,0.0578007246395813,0.8348030749225741,0.8347398749431633,0.049867550631752855,0.9302232509632814,0.8684134057261288,0.8526498193893436,0.9025782827237175,0.1536842101632402
0,1,True,1.5624583377181587,2.1435128895976847,0.4106732290851125,0.7824256745842042,0.023009104599509334,0.8406122498340424,0.3951897033678494,0.3387322565170633,0.6751408603669854,0.21879770600837212,0.5812739063224047
1,1,False,0,0.18087628193242275,1.2913102186849708,0.17804175856935944,0.29619613053296445,0.9647633658841193,0.7421130015417877,0.12172787377148642,0.5207667817635293,0.1656677853508849,0.18370598343669853
